Frequency_Hz,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6,Ch_7,Ch_8,Ch_9,Ch_10,Ch_11,Ch_12,Ch_13,Ch_14,Ch_15,Ch_16,Ch_17,Ch_18,Ch_19,Ch_20,Ch_21,Ch_22,Ch_23,Ch_24,Ch_25,Ch_26,Ch_27,Ch_28,Ch_29,Ch_30,Ch_31,Ch_32,Ch_33,Ch_34,Ch_35,Ch_36,Ch_37,Ch_38,Ch_39,Ch_40,Ch_41,Ch_42,Ch_43,Ch_44,Ch_45,Ch_46,Ch_47,Ch_48,Ch_49,Ch_50,Ch_51,Ch_52,Ch_53,Ch_54,Ch_55,Ch_56,Ch_57,Ch_58,Ch_59,Ch_60,Ch_61,Ch_62,Ch_63,Ch_64,Ch_65
0,0.00544902665862244,0.00232718764547495,0.00639687606440014,0.00352306679301123,0.00490784818187977,0.00190672030866458,5.9531460890308e-05,0.000974813567512304,0.000393140182791081,0.00171950658208247,0.00439852785135881,8.9240841034099e-05,0.000194490960562497,0.000179201276928728,0.000614102986315979,4.95690041514331e-05,0.00676540979367984,0.013787334744659,0.00198625943368038,0.00188375820102493,0.000127346067369308,3.3082335829788e-05,0.0026138749015135,0.00436561536900973,5.71570917868961e-07,0.000559109085846009,0.000201077141725452,2.10571085997125e-05,1.3292164127693e-05,0.00171172849337972,2.6281250610947e-05,3.98474627496928e-05,0.0136290601464342,0.00601449476700359,0.00489620327359213,0.00212032015453611,0.00107799130271454,0.00155238566987585,0.0104178854031939,0.00281345172879156,0.000139979523073069,0.000564955519587807,0.00234750536794508,0.00104320234887345,3.33589366695072e-06,0.000609802821520226,0.00287334905613715,1.28527098967988e-06,0.00103298311323944,2.53701503258932e-05,7.58429464163934e-05,5.2902763274858e-05,0.00253417421317348,6.52754362450964e-05,1.79618400386961e-06,0.000802611941322024,0.000276404763736184,0.00253877696270772,0.000232621321233111,0.000333822512983999,0.000313077296771816,0.00192613289389396,0.00573090724811881,0.00100187913597463,0.00125006651167717
0.25,0.0250082844909982,0.0112365649261373,0.0276091639801731,0.0151471129650541,0.0200328428347879,0.00852098864142486,0.000271015271643409,0.00557951616829265,0.00168819566896151,0.00806288559502464,0.0201479015386781,0.00104590962725627,0.000555944043022764,0.00116392823076113,0.0028323717926424,0.000430053457948291,0.0293124164985336,0.058280071266249,0.00871755477538718,0.00893065871033272,0.000601604512375756,0.000415758991404227,0.0111875270589242,0.0195560351468343,1.92686280930501e-05,0.00250527106303891,0.000719847767576328,0.000306682482823145,4.81351974023931e-06,0.00702728445635542,4.51695290079247e-05,0.000931561444863468,0.0578367656790338,0.0255812229457926,0.0201675007778957,0.00935304245626325,0.00490057192799926,0.00786923581234095,0.0454596509997127,0.0123230930901737,0.000533985123756567,0.00243193580361332,0.00980501800745499,0.00528950698682436,7.60053852395419e-05,0.00422685631045304,0.0129249813144579,4.9587093345677e-05,0.00371330726579831,0.000317287254603726,0.000368475672560511,0.000146485223709351,0.0116468128529838,0.000688747440825294,0.000103950728033553,0.0034322575707184,0.000809075259998373,0.010793101929677,0.000988384255075022,0.00205941985807358,0.00117178064191925,0.00816705938493062,0.0250002745886501,0.00513762994133914,0.00587153645576819
0.5,0.0418751708879406,0.0237978369039441,0.040335833788913,0.0193180316727025,0.0228771359057261,0.0131596391693599,0.000895929154469906,0.0149746460157948,0.00205428342684055,0.0113402829276377,0.0345239909960152,0.00646167241200172,5.34924591237046e-05,0.00433773227441722,0.00388498839794648,0.00157207047193181,0.0440501468285731,0.0756008093656437,0.0126228457266038,0.0168411704085316,0.00144078264649296,0.00161954551397424,0.0163490635724927,0.0300638749709887,0.000721213457415959,0.0039790098723424,0.00108012350799789,0.00210685965639546,0.0014635609147108,0.00848078098509204,2.32115970468431e-05,0.00647077346391962,0.0776168587678355,0.0324768437414264,0.0234764706945755,0.0139349352383167,0.00926893396055162,0.0177815755865123,0.0658868881073933,0.0189492216368235,0.000318913795092488,0.00268432880808719,0.0132627224397066,0.0119169218250156,0.00084711170374231,0.0142108734987725,0.0211088879725359,0.0010539338498961,0.00270337365943727,0.00204905701195848,0.000670929907943581,0.000977386930117856,0.0185518976885235,0.00460360251974559,0.00187163145494366,0.005339558688243,0.00013225988527232,0.0147694187018272,0.000973237262586364,0.00527979363681504,0.00105859375978557,0.00962735165879233,0.0368246798515385,0.0115885246777633,0.0106950449959488
0.75,0.0973343499439982,0.0295339075733563,0.0866075649989529,0.0442307461358371,0.0215885921864887,0.0578132187202048,0.00686217386989176,0.0572133021989835,0.00352248112434329,0.0185673854817688,0.0968703341503868,0.0231935814390942,0.00909833924495466,0.0474290517451183,0.0633287379780515,0.0169609375467382,0.0464979834937169,0.105451773098511,0.0420077466704424,0.0415879872048715,0.0010111277893731,0.0330575053212331,0.033275834522227,0.102630409634772,0.0217230633496004,2.35195364881737e-05,0.00359576142149182,0.0291722460329894,0.0140884363020666,0.0521007730730575,0.0339951392922271,0.0687127079371344,0.0964955990050996,0.0782335478085606,0.0369928373580105,0.0648035560716028,0.0205095365845113,0.0780671587357627,0.127865491051764,0.020744054386163,0.00171609305513228,0.00852493829967848,0.018078962242362,0.0530550288667903,0.00391599809179164,0.0564360012166061,0.0830248213240513,0.00793430284663602,0.00174696444391984,0.0231684676080405,0.0335466604598647,0.0304417212861143,0.112863220711073,0.00672710424002918,0.0341853477316482,0.0293618313966773,0.01709291196382,0.080145382550392,0.0500328247882236,0.024182340255262,0.0103291900823367,0.0285984355439165,0.0975949165831323,0.0218657234842877,0.0373573983516404
1,0.120270082954852,0.00847975069175078,0.482402824334533,0.100048651635086,0.363202488379077,0.15746626270254,0.0916799648082839,0.397952980371063,0.00154596230964522,0.177066202142345,1.15898626631052,0.106879943207241,0.883137441524915,0.224259115726428,0.148335656121551,0.402193726458567,0.159682932278182,0.123195001613539,0.316520592328753,0.472796757235178,0.123026578107853,0.0156112276741408,0.12384181253622,0.166857637739972,1.043871136491,0.133281926816224,0.378411853053075,0.299161028617984,0.769119568042706,0.243077723133771,0.487074655668469,0.285546510704145,0.0239574337094173,0.0399909130357356,0.0916388755484216,0.037335005173114,0.200899808567345,0.324984792457319,0.110316604599987,0.00441874757047548,0.661887522744475,0.148788400996474,0.0680704360400084,0.288109271042878,0.129279842706148,0.658399767863228,1.03891093114076,0.151415806280066,0.556977172228715,0.234233799145827,0.257904815748188,0.650264612739094,0.127261826216471,0.0768320184037186,0.911824611665711,0.361167346233683,0.400848138297743,0.0793052079068375,0.047239539050644,0.151902234716774,0.147584642188376,0.0170435830806438,0.314751790339381,0.339067375341176,0.0147339796316285
1.25,0.294249778663578,0.202617951687215,1.32097140816798,0.992592620472682,0.16224614874079,0.111383305973522,0.298578452762038,0.911641883084781,1.0458877613258,1.35515812146314,0.94362455527701,0.116957041454145,0.0400607283752416,0.236207533386258,0.551740924758204,2.35452649510032,0.278998348182848,0.812023676760131,0.423607578930806,0.33449347954963,0.867080601843881,0.877474458203447,0.017074084061018,0.484876367128272,0.267114672663238,0.22007851798129,0.27218647967948,0.205375357335362,0.123265859760322,0.523502162511091,0.232152605771191,0.356678622797318,1.07646271796369,1.16396952490604,0.274939326764259,0.288966901789149,0.0106656229004913,0.517444528731721,0.643338686053364,0.452196013659745,0.475864489822196,0.583455356283604,0.0674169714826142,0.102060403754273,0.368246805635711,1.27300583922074,0.891211385691322,0.652706995804135,0.0699179759080362,0.0281111539027292,0.61017486824189,1.10946761341228,0.0102176421038884,0.130965878978701,0.0423911974074375,0.18558585509382,0.0815122360025921,1.90750121568768,1.28470160722859,1.49616480652099,0.826320851574345,1.78339220888536,0.270192530637869,0.907921418573047,0.977162657024177
1.5,0.169590554506841,0.134602254797064,2.03578037211253,0.451885479240103,0.330829551645655,0.126346318020189,0.0291299630921531,1.0516416441594,0.686383936076434,0.768841758010767,0.318556368048499,0.500604673412435,0.520247789139872,2.22306639019511,0.157365596420496,1.21229796696453,1.20532434416713,2.26210706221208,0.202463998445269,1.24750913177586,1.57206971929073,0.653770630496706,0.0101229588598544,0.173647768395018,0.698081950968996,0.55908128477779,0.373656149637039,0.790008151622749,0.378636835399984,2.39295286765733,0.79968062138605,1.06833591059683,3.32813319458322,0.987179077298896,0.570469198924875,0.339180304441849,0.425230257426053,0.775439470450607,1.68672742028471,0.202685002255762,1.72701225747488,0.213014956508941,0.402750141446059,0.0702259110276514,0.512459543906562,2.0036883079576,1.1579649907469,0.0950344824794663,0.258888114913696,0.763071029842796,0.0599005350374016,1.42108315549938,0.023029461930878,0.251688971720896,0.391792373782363,1.78762260498518,0.70177537215169,1.18537163809701,0.0182560436404723,1.47724316609603,0.69861072855047,0.882036637862467,0.126932421447409,2.04415990908722,1.09631087348532
1.75,0.0811463209683925,0.143545770062675,2.15445369502178,3.82479764421873,0.372658765242921,0.673554556520503,0.530321421597268,0.777262050337576,1.52731074365369,3.13529696986641,1.46518762584928,0.0273148337417356,1.0843987392363,0.206519523429512,1.15134230782795,0.943451165101227,2.86702768178054,5.59209948456109,3.02714221531104,0.218886461449615,4.77600052686674,6.11892555320761,0.281030648845827,0.421256054069381,0.291809487390791,0.0673741766362419,0.463852769574879,0.140519921426705,2.76685432894569,1.11620003190764,0.761703236519809,0.267905636742569,6.02993903972991,6.01546972640628,1.66600485541733,2.81688689172543,0.583118031353675,0.499625001096464,1.8724496984299,1.81219564664433,0.963358342819572,2.11885777015975,0.167276573924255,0.0697037924630311,1.47764402453433,4.791421394457,0.14674944156387,0.395423702337675,0.282015295405244,0.0112296583796824,0.640920501656718,1.41680459636622,0.64009850145125,0.00216414983196785,1.48498746785309,0.264846745683996,2.00962761039134,0.863616651229578,1.11905777199964,2.1989792663586,1.36475342522946,1.56952806256631,0.778933484479723,3.34989414159835,6.69598853068313
2,0.676164513527658,1.44516833153344,0.302949294090685,0.416610855162713,0.256371757641051,0.0994381694790067,1.93003316902294,0.485541519266674,1.62364923388547,0.327470066150643,1.47137786735463,1.32198300771999,0.95898710588577,0.421588629662929,3.07961219460346,0.134226554613691,0.891037408780525,0.807343267012762,0.596249373289189,0.851115949369903,0.186830905333416,0.620385074553766,0.529312389461311,0.36167680817095,0.322313909523742,0.749255855100542,1.05233004168933,0.0214470959966276,2.31532791458725,1.14385942872226,1.14479088669865,0.0523129887016186,0.446283601257694,0.671104560964735,0.124543999438858,0.27106319362823,1.25179655821382,0.714470151002956,1.09398084640194,1.03612346887395,0.0247146546591364,0.152997138599565,0.971527941182022,0.284994114489039,2.72266232160329,0.702382535624951,0.43173758015043,1.20395756341346,0.435361085051167,0.183274263862611,2.20474004000847,0.304589791904059,2.28535811140474,1.52747782794598,1.09000130566039,0.962474680276221,0.1462711028046,0.0299621139966381,3.17972743685349,0.23512678529851,1.18553652144798,0.000655405620454909,0.496560661132744,1.45345855476522,0.570663317105972
2.25,1.18630658803939,0.269194938719679,0.956774204256546,0.0555043224983422,0.0641166663206131,1.00979483169226,0.406535656079217,0.335055827975462,0.444036204975379,0.0578565080407977,0.0856263994507848,0.344721828583486,0.269590693772803,0.44088018547487,0.258428230810296,0.343945322489755,0.240193835680663,0.357089983483907,0.217429818794592,0.643760311235729,0.137926916629654,0.169288778834609,0.245110818212001,0.85502537684607,0.258944128493841,0.220429702255207,0.074522465787621,0.722191878729183,0.722789939253363,1.04666929436918,0.120259886841254,0.167467314273124,0.635768926750667,0.0375106895527654,0.150177933535801,0.911277364387205,0.522790842776165,0.591254270275051,0.792590606496545,0.0353414693920963,0.251274222168301,0.22521357515031,0.12703166994651,0.771826497229467,0.371097701050972,0.243119848213414,0.545963125506066,0.213001776013518,0.145063804686879,0.394156308415256,0.207694182638222,0.268723442375209,0.69207181482256,0.22443906007448,0.331980841640401,0.438271971737139,0.251749401120071,0.0396840794821703,0.251152463752294,0.203493472497888,0.141481651797838,0.0202480284707437,0.466831756245698,0.472234703487593,0.0300071474459455
